disease_code,event_date_column
hyp,hyp_date
pain,pain_date
cancer,cancer_date
asthma,asthma_date
dyspepsia,dyspepsia_date
CHD,CHD_date
thy,thy_date
diabetes,diabetes_date
depression,depression_date
PE,PE_date
prostate,prostate_date
RA,RA_date
stroke,stroke_date
osteoporosis,osteoporosis_date
COPD,COPD_date
migraine,migraine_date
IBS,IBS_date
glaucoma,glaucoma_date
DDI,DDI_date
anxiety,anxiety_date
AF,AF_date
IBD,IBD_date
epilepsy,epilepsy_date
CS,CS_date
end,end_date
PA,PA_date
MD,MD_date
bronch,bronch_date
CFS,CFS_date
PVD,PVD_date
sch,sch_date
PD,PD_date
CKD,CKD_date
MS,MS_date
viral,viral_date
CLD,CLD_date
HF,HF_date
AP,AP_date
TC,TC_date
PO,PO_date
AB,AB_date
opsm,opsm_date
